;Year;Quarter;Haul;Age;Count
1;2018;1;2018:1:DEN:DAN2:GOV:108:27;1;3
2;2018;1;2018:1:DEN:DAN2:GOV:146:40;1;2
3;2018;1;2018:1:DEN:DAN2:GOV:182:48;1;1
4;2018;1;2018:1:FRA:THA2:GOV:W0039:20;1;1
5;2018;1;2018:1:FRA:THA2:GOV:W0060:28;1;1
6;2018;1;2018:1:FRA:THA2:GOV:W0140:58;1;1
7;2018;1;2018:1:GFR:WAH3:GOV:130:14;1;2
8;2018;1;2018:1:GFR:WAH3:GOV:165:23;1;1
9;2018;1;2018:1:GFR:WAH3:GOV:168:26;1;2
10;2018;1;2018:1:GFR:WAH3:GOV:188:30;1;1
11;2018;1;2018:1:GFR:WAH3:GOV:189:31;1;2
12;2018;1;2018:1:NED:TRI2:GOV:36F255:55;1;1
13;2018;1;2018:1:NED:TRI2:GOV:37F353:53;1;1
14;2018;1;2018:1:NED:TRI2:GOV:37F607:7;1;1
15;2018;1;2018:1:NED:TRI2:GOV:40E828:28;1;1
16;2018;1;2018:1:NED:TRI2:GOV:40E829:29;1;1
17;2018;1;2018:1:NED:TRI2:GOV:40F135:35;1;1
18;2018;1;2018:1:NED:TRI2:GOV:41E922:22;1;1
19;2018;1;2018:1:SCO:SCO3:GOV:10:10;1;1
20;2018;1;2018:1:SCO:SCO3:GOV:18:18;1;2
21;2018;1;2018:1:SCO:SCO3:GOV:19:19;1;1
22;2018;1;2018:1:SCO:SCO3:GOV:40:40;1;6
23;2018;1;2018:1:SCO:SCO3:GOV:53:53;1;1
24;2018;1;2018:1:SCO:SCO3:GOV:62:62;1;1
25;2018;1;2018:1:SCO:SCO3:GOV:63:63;1;2
26;2018;1;2018:1:SCO:SCO3:GOV:67:67;1;14
27;2018;1;2018:1:SCO:SCO3:GOV:68:68;1;2
28;2018;1;2018:1:SCO:SCO3:GOV:69:69;1;2
29;2018;1;2018:1:SCO:SCO3:GOV:7:7;1;3
30;2018;1;2018:1:SCO:SCO3:GOV:70:70;1;3
31;2018;1;2018:1:SCO:SCO3:GOV:71:71;1;2
32;2018;1;2018:1:SCO:SCO3:GOV:72:72;1;3
33;2018;1;2018:1:SCO:SCO3:GOV:8:8;1;2
34;2018;1;2018:1:SCO:SCO3:GOV:9:9;1;1
35;2018;1;2018:1:SWE:DANS:GOV:114:31;1;1
36;2018;1;2018:1:SWE:DANS:GOV:117:32;1;1
37;2018;1;2018:1:SWE:DANS:GOV:12:3;1;1
38;2018;1;2018:1:SWE:DANS:GOV:136:38;1;1
39;2018;1;2018:1:SWE:DANS:GOV:142:39;1;1
40;2018;1;2018:1:SWE:DANS:GOV:153:44;1;1
41;2018;1;2018:1:SWE:DANS:GOV:157:46;1;3
42;2018;1;2018:1:SWE:DANS:GOV:164:47;1;1
43;2018;1;2018:1:SWE:DANS:GOV:2:1;1;1
44;2018;1;2018:1:SWE:DANS:GOV:25:6;1;4
45;2018;1;2018:1:SWE:DANS:GOV:27:7;1;7
46;2018;1;2018:1:SWE:DANS:GOV:28:8;1;6
47;2018;1;2018:1:SWE:DANS:GOV:4:2;1;2
48;2018;1;2018:1:SWE:DANS:GOV:44:11;1;1
49;2018;1;2018:1:SWE:DANS:GOV:46:12;1;2
50;2018;1;2018:1:SWE:DANS:GOV:47:13;1;2
51;2018;1;2018:1:SWE:DANS:GOV:57:14;1;4
52;2018;1;2018:1:SWE:DANS:GOV:58:15;1;8
53;2018;1;2018:1:SWE:DANS:GOV:60:16;1;6
54;2018;1;2018:1:SWE:DANS:GOV:63:18;1;6
55;2018;1;2018:1:SWE:DANS:GOV:77:19;1;5
56;2018;1;2018:1:SWE:DANS:GOV:80:21;1;2
57;2018;1;2018:1:SWE:DANS:GOV:83:22;1;5
